,title,type
0, 안갯속 빠진 애플카 협업잠정 중단에 무게인터뷰투데이,1
1,테슬라 비트코인 조원 넘게 투자이 말에 비트코인 만원 돌파,1
2,테슬라 조 규모 비트코인 매입전기차 비트코인 결제 검토,1
3,테슬라 이어 애플도 비트코인 사들이면 예상 시나리오는,1
4, 주당 천원 배당주주 환원 지속 확대,1
5, 작년 배당 주당 원 증가,1
6, 지난해 주당 원 배당주주가치 제고,1
7, 주당 원 역대 최고액 배당전년 ,1
8,일렉트릭   인수전력자동화사업 디지털전환 박차,1
9,일렉트릭   인수전력자동화사업 디지털전환 박차,1
10,일렉트릭   인수전력자동화에 박차,1
11,일렉트릭   인수디지털 전환 속도낸다,1
12,최대주주에 지분  넘긴 법인 세금 할증세금 환급가산금은 축소,1
13,시장조성자 증권거래세 면제 대상  줄어든다,1
14,동국제강 당기순이익 년 만에 흑자주당 원 현금 배당,1
15,동국제강 작년 영업익 억전년 ,1
16,탄소중립 중점기술 상반기중 선정한다,1
17,탄소 중립 기술로 이끈다민관합동 기술기획 위원회 출범,1
18,내년 중대재해법 시행중대재해 발생시 본사까지 감독,1
19,중대재해 상습 건설사 번만 사고나도 본사전국현장 감독,1
20,권익위 부동산 중개수수료 개선 방안 권고안 발표,1
21,억 아파트 매매때 만원만원반값 중개료 추진,1
22,은행 점포 폐쇄시 사전영향평가 의무화폐점 개월 전 안내해야,1
23,점포 다이어트 돌입한 저축 수도권은 반짝 늘었다종합,1
24,가격 방어 위해 태워지던 타임마인 인테리어 마감재로 활용한다,1
25,재고 의류 소각 대신 인테리어 마감재로한섬  탄소제로 프로젝트,1
26,위험 선호 회복에 원달러 환율 하락 출발,1
27,원달러 환율 원 내린 원 마감,1
28,서울 서비스업 생산만 오르고 제주 소매판매 사상 첫 마이너스,1
29,부동산주식 호황에 지난해 서울서만 서비스업 생산 증가,1
30, 빌트인 가전  최대 주방욕실 전시회서 베일 벗어,1
31,삼성   참가 미국 최대 주방욕실 전시회,1
32,삼성전자 최대 주방욕실 전시회   참가,1
33,전자 최대 주방욕실 전시회   참가,1
34, 청소노동자 전원에  마포빌딩 고용 유지 제안,1
35,타워 농성에  청소근로자 전원 마포빌딩서 고용 유지 제안,1
36, 트윈타워 농성 청소노동자 전원 마포빌딩 고용 유지 제안,1
37, 트윈타워 청소근로자 전원에 마포빌딩 근무 제안,1
38,백복인  사장 재연임 눈앞사추위 차기  후보로 백 사장 선정,1
39, 차기  단일후보에 백복인 현 사장재연임 예고,1
40,백복인 사장  년 더 맡나차기 사장 후보로 선정,1
41, 사추위 백복인 사장 차기 사장 후보로 선정,1
42,중개보수 비용 완화권익위 중개서비스 개선안 권고,1
43,권익위 부동산 중개수수료 개선 권고국토부 월 중 최종안 발표,1
44, 작년 순이익 억 원 전년 대비 억 원 감소,1
45,금융 년 순이익 억원 전년대비 감소,1
46,월 전국 입주물량  감소봄이사철 수요 임차시장 불안 우려,1
47,월 아파트 입주물량 만가구전년대비  감소,1
48, 환율 원 내린 원 마감달러원,1
49, 원달러 환율 원 내린 원마감환율,1
50,기술력 믿어라현대애플카 무산설 그래도 주가는 오른다,1
51,애플카 쇼크 현대차그룹 시총 하루 만에 조천억 증발,1
52,코로나에 기업들 타격 작년 법인세 조원 덜 걷혔다,1
53,작년 법인세 조부가세 조국세수입 사상 첫 년연속 감소,1
54,기아 년내 친환경차 만대 판매친환경 모빌리티로 재탄생,1
55,기아 미국서 흥행 중국서 반전 노린다글로벌 시장 공략,1
56,테슬라 이어 애플도 비트코인 사들이면 예상 시나리오는,1
57,꾸준한 역 프리미엄국내 비트코인 가격 왜 해외보다 만원 낮을까,1
58,동국제강 당기순이익 년 만에 흑자주당 원 현금 배당,1
59,동국제강 당기순이익 년 만에 흑자영업익 ,1
60,대변혁의 원년 기아 년까지 전기차 종 출시 첫모델 출시종합,1
61,애플 따윈 필요없어플랜 기아 세상에 없던 전기차 종 출시,1
62,기아 년까지 전용 전기차 종 출시,1
63,기아 애플과 협상 멈췄지만전기차 흑자구간 진입했다,1
64,한섬 탄소 제로 프로젝트 가동친환경적 재고 폐기,1
65,한섬 재고 의류 소각 대신 섬유 패널로 새활용탄소 제로 프로젝트 가동,1
66,한섬 재고의류 폐기않고 벽마감재로 쓴다,1
67,한섬 재고 의류 친환경 인테리어 마감재로 재활용,1
68,석유화학 탄소제로위원회 출범대규모  추진,1
69, 탄소 중립 기술 로드맵 연말까지 만든다,1
70,석유화학업계  탄소중립 추진 위한 탄소제로위 출범,1
71,석유화학업계  탄소중립 위해 뭉쳤다,1
72,부동산 중개수수료 내린다억 아파트 매매시 만만원,1
73,억 아파트 매매 시 만원만원 정부 수수료 개선 추진,1
74,금융 순이익  감소로 실적 방어 실패배당성향은 ,1
75,금융 년 순이익 억원 전년대비 감소,1
76,코로나 비켜이마트 지난해 영업익 전년,1
77,이마트 지난해 매출 조사상 최대 실적,1
78,전국 입주 아파트 물량 월 증가했다 월 감소,1
79,월 전국 입주물량  감소봄이사철 수요 임차시장 불안 우려,1
80,애플카 쇼크현대차그룹주 시총 조원 증발,1
81,애플카 협력  중단현대차기아 시총  조 증발,1
82,시장조성자 증권거래세 면제 대상  줄어든다,1
83,공매도 주체 시장조성자 거래세 면제 혜택 축소,1
84,코로나 직격탄 칼텍스 작년 정유 사업서 조 적자,1
85, 지난해 영업익 억원전년 대비 ,1
86,전원 고용 유지 트윈타워 농성 청소근로자에 제안,1
87, 여의도 트윈타워 청소근로자 전원에 마포빌딩 근무 제안,1
88,작년 은행점포 개 폐쇄월부터 폐쇄 결정전 영향 평가 필수,1
89,한 해 동안 열고 닫을 은행 점포 미리 공시하라는 금감원,1
90,홍남기 계란 수급 여건 악화시 추가 수입 추진,1
91,홍남기 계란 천만개 수입부족하면 추가 수입,1
92,홍남기 설 성수품 가격 점검계란 추가 수입도 고려,1
93,홍남기 계란 수급 여건 악화시 추가 수입 추진,1
94,테슬라 효과에 비트코인 만원 돌파 위지트 등 관련주 들썩,1
95,머스크 우주선이 아니라 비트코인을 쏘아 올렸다종합,1
96,게임스톱 급등 비트코인도지코인 강세는 열혈팬 때문,1
97,비트코인 시총 억달러테슬라 맞먹어,1
98,기은 연구기관 연결 우수기술 매칭컨설팅 실시,1
99,기업은행 우수기술 매칭컨설팅에 대학연구기관 연결,1
100,기업은행 기업연구기관 연결하는 우수기술 매칭컨설팅,1
101,기업은행 우수기술 매칭컨설팅 실시,1
102,정부 중개수수료 요율 뜯어 고친다억 아파트 매매 만원만원,1
103,정부 중개수수료 개선 추진억 아파트 매매 시 ,1
104,삼성전자  서 소비자 맞춤형 가전 소개,1
105,삼성전자 북미 최대 주방 전시회  참가,1
106,애플카 협상 중단 현대차그룹 개인은 사고 기관외인은 팔고,1
107,애플카 파트너 상반기내 발표현대차 아니면 폭스바겐,1
108,째째한 성과급 논란이지만통큰 보너스 결정한 네이버카카오,1
109,성과급 논란 텔레콤  노사합동  만들기로,1
110, 지난해 영업이익 조억원전년보다 ,1
111,그룹 주요 계열사 올 주총부터 전자투표제 도입,1
112,탄소중립에 손잡은 민관 석화산업 쌀 대체물질 찾는다,1
113,민관 합동 탄소중립 기술기획위원회 출범,1
114,코스피  하락 마감대로 뒷걸음종합,1
115, 외국인 순매도에 막판 뒷심 부족했던 코스피마켓뷰,1
116,일렉트릭   억원에 인수 디지털 전환 속도,1
117,일렉트릭   인수디지털 전환 속도낸다,1
118, 분양가 주변 시세  반영 방침깜깜이 심사 사라지나,1
119, 고분양가 심사제도 전면 개선주변 시세 최대 ,1
120,코로나 진단키트 제조업체 씨젠 과징금회계기준 위반,1
121,씨젠 분식회계 징계에도 증권가 무덤덤오히려 매수 기회,1
122,씨젠 증선위 징계 소식에 대 하락,1
123,증선위 씨젠 등 개 업체에 과징금 부과 등 조치,1
124,코스피  하락 마감대로 뒷걸음종합,1
125, 코스피 외인 매도폭 확대에 하락 다시 선 하회마감,1
126, 외국인 순매도에 막판 뒷심 부족했던 코스피마켓뷰,1
127,외국인 차익실현 팔자에코스피 이틀째 하락,1
128,양천 목동 단지재건축 차 안전진단 통과,1
129,목동단지 차 안전진단 통과,1
