,title,type
0,카카오 지난해 매출 사상 최대연 조원 시대 열어,4
1,카카오 연매출 조 돌파 의장은 재산 기부기업가치 높여 더 나은 사회로종합,4
2, 카카오 톡비즈 날개 달고 영업익 억종합,4
3,카카오 지난해 매출 조원 돌파역대 최대 실적,4
4,언택트 수혜 못 본  지난해 실적 통신 사 중 가장 부진,4
5, 작년 영업익 조전년비 보,4
6, 작년 영업익 조억원배당금 원,4
7, 디지코 전환 잰걸음미디어 매출 두자릿수 성장상보,4
8,대신정보통신컨소시엄 대구센터 클라우드 통합운영관리시스템 도입 사업 수주,4
9,정부클라우드 그림 다시 그린다차 기본계획  발족,4
10,블소 전작과 다르면서도 같다 택진이형의 각오는 비장했다,4
11,블소로 돌아온 김택진 불가능이라 생각했던 기술적 한계 깼다,4
12,안랩 작년 영업이익 억원전년 대비 ,4
13,코로나 속 선방한 안랩 지난해 영업익 억 전년대비 ,4
14,카카오 김범수 기부금 조원 어디에 쓰일까,4
15,아 범수형이랑 일하고 싶네조 기부 전직원에 자사도,4
16,게임사 매출 조원 시대 연 넥슨전년비 ,4
17,속보넥슨 지난해 매출 조원 돌파업계 최초,4
18,  올해   내외 성장 전망컨콜,4
19, 올해  가입자 비중 전체 핸드셋 까지 성장할 것,4
20,카카오 지난해 영업이익  증가최대 실적,4
21,카카오 지난해 매출 사상 최대연 조원 시대 열어,4
22,연 매출 조원 시대 연 카카오 경영 본격화종합,4
23, 카카오 작년 영업익 억전년 상보,4
24, 김범수 재산 절반 기부한국판 빌 게이츠자막뉴스,4
25,질병기후사회 문제해결 각별한 관심 기업가 바꿨다 호평,4
26,조 부자 카카오 김범수 재산 절반 이상 기부사회 문제 해결,4
27, 조 부자 카카오 김범수 재산 절반 기부할 것김대호의 경제읽기,4
28,최기영 장관 이통사  만남민생경제 전방위 지원 약속,4
29,설날 연휴 영상통화 데이터 무료온라인 세배 걱정마세요,4
30,음원저작권료 갈등 결국 법정으로,4
31,해외 음악 저작권 단체 한국  정당한 저작권료 지불하라 요구,4
32,대신정보통신컨소시엄 대구센터 클라우드 통합운영관리시스템 도입 사업 수주,4
33,정부클라우드 그림 다시 그린다차 기본계획  발족,4
34, 매출 뒷걸음질미디어 등 디지털 플랫폼은 두 자릿수 성장종합,4
35, 지난해 영업익  늘어난 조올 매출 조 도전,4
36,엔씨 김택진 블소 기술적 한계 깼다 액션 정점,4
37,김택진 엔씨 대표의 자신감 블소 액션의 정점,4
38,속보 넥슨 지난해 매출 조억원업계 첫 조원 돌파,4
39,게임사 매출 조원 시대 연 넥슨전년비 ,4
40,  올해  전년과 비슷미디어 분야 확대컨콜,4
41,  올해  전년과 비슷미디어 분야 확대컨콜,4
42,  지난해와 비슷할 것 미디어 설비투자 비중 확대,4
43, 올해 콜센터 사업도 본격 진출부문 지난해보다 더 성장,4
44, 올해   내외 성장 예상 중저가요금제도 긍정 작용,4
45,  올해  가입자 비중 전체 고객의  기대컨콜,4
46, 올해 무선   내외 성장컨콜,4
47,  올해  가입자전체 핸드셋  기대컨콜,4
48,엔씨 블레이드소울  사전예약 시작편 아성 이을까,4
49,김택진 엔씨 대표의 자신감 블소 액션의 정점,4
50,설 연휴 영상통화 무료로민관  융합서비스 머리 맞댄다,4
51,설 연휴 영상통화 무료로 이용자영업자에는 데이터  제공,4
