,title,type
0,황희 장관후보자 청문회가족여행 등 쟁점,3
1,황희 신속  검진 일반에 승인되면 트래블 버블 가능,3
2,황희 코로나 고통 큰 문화체육관광 분야 회복에 주력할 것,3
3,황희 후보자 코로나 피해 회복문화 뉴딜에 주력,3
4,내일 아침까지 추위낮부터 기온 올라 포근한 겨울,3
5, 출근길 전국 영하권 추위낮부터 풀려요날씨,3
6, 낮부터 영상권설 연휴 맑고 포근 미세먼지 나쁨날씨,3
7,울산 맑고 건조낮부터 기온 올라 포근,3
8,렉서스 장인정신 집약된 고급 세단   사전계약 실시,3
9,렉서스 뉴  사전 계약 실시억천만원부터,3
10,설 연휴 제주 문화예술 공연 집에서 즐겨요,3
11,문화예술 일자리 온라인에서 찾으세요일 취업박람회,3
14,황희 후보자 장관 임명되면 코로나극복 위해 열심히 뛰겠다,3
17, 낮부터 추위 풀려설 연휴 포근날씨,3
18, 오늘 낮부터 기온 차차 올라 포근날씨,3
19, 기온 오름세설날에는 월 중순의 봄 날씨날씨,3
20,렉서스코리아 플래그십 세단   가격 공개사전 계약 실시,3
22,문화예술 일자리 온라인에서 찾으세요,3
24,벤츠 중단했던 디젤차량 인도 재개,3
25,벤츠 디젤차량 판매 일시중단부품 점검 위한 것,3
26,벤츠 디젤차량 고객 인도 일시중단내부 확인 거쳐 재개,3
27,단독벤츠 디젤엔진 라인 국내 판매 중단,3
28,렉서스   월 출시 사전계약 억만원부터,3
30,렉서스 플래그십 세단   사전 계약 실시,3
31,렉서스 플래그십 세단   사전 계약 억만원부터,3
32, 전국 맑지만 건조함 심해기온 점차 오르며 포근날씨톡톡,3
33, 부산 낮부터 기온 회복 최고 도울산창원김해 건조주의보날씨,3
34,황희 수자원공사 고위간부 후원금에 누군지 모른다,3
35,황희 수자원공사 간부 고액 후원 의혹에 명단 보지 않는다,3
36,한국 애니메이션 레드슈즈 아카데미상에 도전장,3
37,토종애니 레드슈즈 아카데미 수상 도전차 후보 올랐다,3
39,문화예술 일자리 취업 박람회일 온라인 잡마켓,3
40,손님은 없는데 주가만 펄펄속타는 파라다이스,3
41,  년 매출액 억원 영업손실 억원 연결 기준코스피,3
42, 광주전남 당분간 일교차 큰 날씨여수순천광양 건조주의보날씨,3
44,내일 기온 더 올라 설 연휴 포근,3
45, 낮부터 추위 누그러져설 연휴 맑고 포근날씨,3
48,한국 토종 애니메이션 레드슈즈 아카데미 도전,3
49,국산 애니 레드슈즈 아카데미상에 도전장,3
50,벤츠 디젤라인 국내 판매 중단올해 판매 타격 불가피,3
53,황희 후보자 후원금 낸 수자원공사 간부 누군지 모른다,3
54,렉서스   사전계약 실시억만원부터,3
