,title,type
0,속보 서울고검 재판부 사찰의혹 윤석열 무혐의 처분,2
1,서울고검 판사 문건 윤석열 총장에  무혐의 처분,2
2,서울고검 윤석열 판사 사찰 무혐의 처분,2
3,서울고검 윤석열 판사 사찰 무혐의 처분종합,2
4,속보 고양시 태평양무도장 명 집단감염방역조치 위반,2
5,코로나 집단감염 고양 무도장 출입관리 위반 적발,2
6,고양 태평양무도장동경식당서 집단감염 시 방역수칙 위반,2
7,고양시 무도장식당서 집단감염 발생방역수칙 위반 조사,2
8,구속 위기 백운규 혐의 부인원전 폐쇄는 국민안전 위한 것,2
9,백운규 영장기각에 급제동 월성원전 수사 계속 윗선 향할까,2
10,월성원전 의혹 백운규 구속영장 기각혐의 소명 부족,2
11,월성원전 의혹 백운규 구속심사 시간 만에 종료,2
12,광주 하루 천명 백신 접종 작전시설인력 확보 속도,2
13,일 백신 접종 앞두고 모의훈련참가자 대본 없이 진행,2
14,일 백신 접종 앞두고 모의훈련돌발상황 점검,2
15,전남도 코로나 예방접종 임박 막바지 준비,2
16,방역당국 수도권 임시검사소 일부 운영 유지 실명검사로 전환,2
17,서울역고속터미널 등 임시 선별검사소 개소 설 연휴 운영,2
18,박근혜 코로나 격리 일만에 서울구치소 복귀,2
19,박근혜 전 대통령 일 만에 퇴원해 서울구치소 복귀,2
20,앞길 구만리 대 급 공무원의 죽음수사 전환할까,2
21,숨진 채 발견된 서울시 급 공무원유퀴즈 출연자 맞다,2
22,변이 코로나 명 추가 총 명명 입국 명은 지역 전파 사례종합,2
23,전파 속도 빨라지는 변이 바이러스하루만에 명 추가,2
24,온몸 멍든 살 여아 욕조 빠져 숨져이모부가 학대 용의자,2
25,이모 집에 맡겨진 열살 여아 욕조서 숨져온몸에 멍 자국,2
26,내일부터 고속도로 휴게소 매장서 식사 금지 포장만 가능 통행료 유료,2
27,내일부터 고속도로 휴게소 포장만 가능모레부터는 통행료 유료,2
28,김해시  등급 청렴도시 청렴한 김해을 위한 보고회 개최,2
29,영도구 신규 공무원 청렴 서약식 및 청렴교육 개최,2
30,이번 설부터 고양이개 학대하면 년 징역,2
31,동물학대 처벌 강화잔인하게 죽이면 년 이하년 이하 징역,2
32,아스트라제네카 백신 만명분 일부터 받아 곧바로 접종,2
33,방역 당국 아스트라제네카 백신 일부터 접종 시작,2
34,아기욕조서 기준치 배 환경호르몬집단 소송 나서,2
35,환경호르몬 기준치 배 나온 코스마 아기욕조피해자 집단소송,2
36,트랜스젠더는 남자에서 여자가 된 사람 아닌가요,2
37,트랜스젠더  수업 중 교사가 성소수자 비하하는 발언 들어,2
38,요아리 학폭 논란침묵은 금물에세이,2
39,싱어게인 측 요아리 학폭 의혹 부인출연진 변동 없어,2
40,월성원전 의혹 백운규 전 장관 구속 전 피의자 심문 종료,2
41,백운규 구속영장 기각원전수사 제동 걸렸다,2
42,백운규 전 산자부 장관 영장실질심사 종료구속여부 일 새벽쯤 나올듯,2
43,월성 원전 의혹 백운규 전 산업부 장관 구속영장 기각,2
44,전세버스 타고 제주 여행 코로나 확진설 연휴 방역 비상,2
45,제주 명 신규 확진자 발생관광객아라동 일가족 접촉자,2
46,제주 관광객 여행중 확진 판정 설연휴 방역 비상,2
47,패키지 여행 왔다 확진됐는데서로 모르니 방역 위반 아니다,2
49,살 조카 이틀간 때리고 물고문으로 죽인 이모 훈육이었다,2
50,이모 집 맡겨진 살 여자아이 숨져온몸에 멍자국,2
51,이모집 맡겨진 살 아이 온몸 멍든채 욕조서 숨져폭행 조사,2
52,경남 신규 명김해 변이 바이러스 검사,2
53,경남 명 추가 확진외국인 확진자 변이 바이러스 검사 요청종합,2
54,경남 코로나 감염 첫 한자릿수명 또 확진,2
55,경남 명 추가 확진선교회 교육시설 관련 등,2
56,고양시 무도장식당서 집단감염방역수칙 위반 조사,2
57,경기 명 신규 확진고양 무도장 명 추가 감염,2
58, 판사사찰 무혐의 처분감찰부 직권남용 성립 어렵다,2
60,보육교사 모두가 아이 학대하며 즐겨 그곳은 지옥이었다,2
61,고기 구워먹던 학대 교사들 어린이집은 지옥이었다,2
62,해외서 유입된 변이 바이러스 추가 감염 명누적 명,2
63,변이 바이러스 건 급증건 경남전남 외국인 집단감염,2
64,박근혜 코로나 격리 일만에 퇴원서울구치소 복귀,2
66,고양시의회 동물복지연구회 출범조례개정 검토,2
67,동물 학대 처벌 강화된다맹견 소유자 책임보험 가입 필수,2
68,질병청 아스트라제네카 백신 일부터 접종 시작,2
70,대낮에 주행 중인 차량 가로막고 집단폭행,2
71,대낮에 차량 습격러시아인 추정 명 무차별 폭행 영상,2
72, 서울교육청  과정중심평가 성적 반영되지 않아일문일답,2
73, 튜터 서울 학생들 맞춤형 학습 돕는다,2
74,이선호 울주군수 벌금 만원 군민 위해 최선 다하라는 뜻,2
75,국민의힘 박성민 의원 벌금 만원 의원직 유지,2
76,서울시 임시선별검사소 개소 설 연휴에도 운영 결정,2
77,서울시 임시선별검사소 개소 설 연휴에도 운영한다,2
78,경찰 설 연휴 갓길통행 등 법규 위반 집중 단속,2
79,경기남부경찰 설 연휴 특별교통관리대책 추진,2
80,서울역 묻지마 폭행 대 징역 년 개월 실형법정구속,2
81,서울역 묻지마 폭행 대 심서 징역 년개월,2
82,서울역 묻지마 폭행 대 징역 년 개월법정구속,2
83,서울역 폭행 대 징역 년 개월법정구속,2
84,공무원 사망 서울시유족 고인 향한 억측 삼가달라,2
85,서울시 공무원 사망 사건 보도 자제 요청유족 원치 않아,2
86,숨진 채 발견된 서울시립미술관 급 대 공무원 유퀴즈 출연자 맞다종합,2
87,서울시 급 공무원 유퀴즈 출연 당시저 사람도 안 잘려 종합,2
88,이모 집 욕조서 숨진 살 여자 어린이는 물고문까지 당했다,2
89,이모 집 욕조서 숨진 살 여자 아이온몸에 멍자국,2
90,욕조에서 숨진 살 아이잔혹했던 이모 부부의 만행,2
91,몸에 멍 자국 살 여아 욕조서 숨져이모 부부 긴급체포,2
92,일 아스트라제네카 백신 접종 시작요양병원시설 먼저,2
93,아스트라제네카 고령층 논란 지속접종 차질 우려종합,2
95,백신 일부터 공급바이오사이언스 공장 출하,2
96,코로나 변이 바이러스 건 추가총 건,2
97,해외발 변이 바이러스 확산 비상명 추가 발생,2
98,부천 종교시설학원 등에서 명 집단감염 발생,2
99,보 부천 종교시설보습학원서 명 코로나 집단감염,2
100,선거법위반 박성민이선호 직위상실 면해선출직 재판 일단락,2
102,경산시공무원노조 설맞이 청렴캠페인 실시,2
103,한국부동산원 설 명절 반부패청렴캠페인 실시,2
105,고기파티 인천 국공립어린이집 교사들 학대 상습적영장 검토,2
106,설 연휴 평년보다 포근하지만 안개 주의해야,2
107,설 연휴 맑고 포근짙은 안개 귀성길 운전 주의,2
108,백운규 영장 기각에 당혹스러운 검찰윗선 수사 차질 불가피,2
109,민주당 백운규 구속영장 기각은 당연국민 검찰로 거듭나야,2
